City/Municipality,Month,Year,Alive,Death
"GEN, MARIANO ALVAREZ",April,2018,4,
"GEN, MARIANO ALVAREZ",May,2018,1,
"GEN, MARIANO ALVAREZ",June,2018,5,
"GEN, MARIANO ALVAREZ",July,2018,7,
"GEN, MARIANO ALVAREZ",August,2018,9,
"GEN, MARIANO ALVAREZ",September,2018,8,
"GEN, MARIANO ALVAREZ",October,2018,19,
"GEN, MARIANO ALVAREZ",November,2018,20,
"GEN, MARIANO ALVAREZ",December,2018,23,
GEN. MARIANO ALVAREZ,January,2014,3,0
GEN. MARIANO ALVAREZ,February,2014,0,0
GEN. MARIANO ALVAREZ,March,2014,1,0
GEN. MARIANO ALVAREZ,April,2014,3,0
GEN. MARIANO ALVAREZ,May,2014,2,0
GEN. MARIANO ALVAREZ,June,2014,4,0
GEN. MARIANO ALVAREZ,July,2014,4,0
GEN. MARIANO ALVAREZ,August,2014,4,0
GEN. MARIANO ALVAREZ,September,2014,13,0
GEN. MARIANO ALVAREZ,October,2014,8,0
GEN. MARIANO ALVAREZ,November,2014,4,0
GEN. MARIANO ALVAREZ,December,2014,3,0
GEN. MARIANO ALVAREZ,January,2015,23,
GEN. MARIANO ALVAREZ,February,2015,13,
GEN. MARIANO ALVAREZ,March,2015,13,
GEN. MARIANO ALVAREZ,April,2015,13,
GEN. MARIANO ALVAREZ,May,2015,4,
GEN. MARIANO ALVAREZ,June,2015,6,0
GEN. MARIANO ALVAREZ,July,2015,18,0
GEN. MARIANO ALVAREZ,August,2015,42,1
GEN. MARIANO ALVAREZ,September,2015,128,1
GEN. MARIANO ALVAREZ,October,2015,124,1
GEN. MARIANO ALVAREZ,November,2015,33,0
GEN. MARIANO ALVAREZ,December,2015,4,0
GEN. MARIANO ALVAREZ,January,2016,34,
GEN. MARIANO ALVAREZ,February,2016,21,
GEN. MARIANO ALVAREZ,March,2016,13,
GEN. MARIANO ALVAREZ,April,2016,5,
GEN. MARIANO ALVAREZ,May,2016,2,
GEN. MARIANO ALVAREZ,June,2016,4,0
GEN. MARIANO ALVAREZ,July,2016,13,0
GEN. MARIANO ALVAREZ,August,2016,19,
GEN. MARIANO ALVAREZ,September,2016,18,
GEN. MARIANO ALVAREZ,October,2016,19,
GEN. MARIANO ALVAREZ,November,2016,22,
GEN. MARIANO ALVAREZ,December,2016,6,0
GEN. MARIANO ALVAREZ,January,2017,3,1
GEN. MARIANO ALVAREZ,February,2017,7,
GEN. MARIANO ALVAREZ,March,2017,1,
GEN. MARIANO ALVAREZ,April,2017,1,
GEN. MARIANO ALVAREZ,May,2017,2,
GEN. MARIANO ALVAREZ,June,2017,8,
GEN. MARIANO ALVAREZ,July,2017,37,
GEN. MARIANO ALVAREZ,August,2017,33,
GEN. MARIANO ALVAREZ,September,2017,25,
GEN. MARIANO ALVAREZ,October,2017,12,
GEN. MARIANO ALVAREZ,November,2017,15,
GEN. MARIANO ALVAREZ,December,2017,19,
GEN. MARIANO ALVAREZ,January,2019,48,
GEN. MARIANO ALVAREZ,February,2019,24,
GEN. MARIANO ALVAREZ,March,2019,17,
GEN. MARIANO ALVAREZ,April,2019,10,
GEN. MARIANO ALVAREZ,May,2019,18,
GEN. MARIANO ALVAREZ,June,2019,79,
GEN. MARIANO ALVAREZ,July,2019,415,2
GEN. MARIANO ALVAREZ,August,2019,399,2
GEN. MARIANO ALVAREZ,September,2019,155,
GEN. MARIANO ALVAREZ,October,2019,96,
GEN. MARIANO ALVAREZ,November,2019,44,
GEN. MARIANO ALVAREZ,December,2019,12,
GEN. MARIANO ALVAREZ,January,2020,11,
GEN. MARIANO ALVAREZ,February,2020,5,
GEN. MARIANO ALVAREZ,March,2020,0,
GEN. MARIANO ALVAREZ,April,2020,0,
GEN. MARIANO ALVAREZ,May,2020,0,
GEN. MARIANO ALVAREZ,June,2020,0,
GEN. MARIANO ALVAREZ,July,2020,1,
GEN. MARIANO ALVAREZ,August,2020,1,
GEN. MARIANO ALVAREZ,September,2020,2,
GEN. MARIANO ALVAREZ,October,2020,4,
GEN. MARIANO ALVAREZ,November,2020,4,
GEN. MARIANO ALVAREZ,December,2020,2,
GEN. MARIANO ALVAREZ,January,2021,5,
GEN. MARIANO ALVAREZ,February,2021,7,
GEN. MARIANO ALVAREZ,March,2021,4,
GEN. MARIANO ALVAREZ,April,2021,4,
GEN. MARIANO ALVAREZ,May,2021,6,
GEN. MARIANO ALVAREZ,June,2021,6,
GEN. MARIANO ALVAREZ,July,2021,15,
GEN. MARIANO ALVAREZ,August,2021,8,
GEN. MARIANO ALVAREZ,September,2021,6,
GEN. MARIANO ALVAREZ,October,2021,5,1
GEN. MARIANO ALVAREZ,November,2021,6,
GEN. MARIANO ALVAREZ,December,2021,2,
GEN. MARIANO ALVAREZ,January,2022,2,
GEN. MARIANO ALVAREZ,February,2022,2,
GEN. MARIANO ALVAREZ,March,2022,2,
GEN. MARIANO ALVAREZ,April,2022,2,1
GEN. MARIANO ALVAREZ,May,2022,0,
GEN. MARIANO ALVAREZ,June,2022,3,
GEN. MARIANO ALVAREZ,July,2022,12,
GEN. MARIANO ALVAREZ,August,2022,13,
GEN. MARIANO ALVAREZ,September,2022,12,
GEN. MARIANO ALVAREZ,October,2022,12,
GEN. MARIANO ALVAREZ,November,2022,2,
GEN. MARIANO ALVAREZ,December,2022,3,
GEN. MARIANO ALVAREZ,January,2023,9,
GEN. MARIANO ALVAREZ,February,2023,7,
GEN. MARIANO ALVAREZ,March,2023,4,
GEN. MARIANO ALVAREZ,April,2023,7,
GEN. MARIANO ALVAREZ,May,2023,10,
GEN. MARIANO ALVAREZ,June,2023,12,
GEN. MARIANO ALVAREZ,July,2023,21,
GEN. MARIANO ALVAREZ,August,2023,20,
GEN. MARIANO ALVAREZ,September,2023,30,
GEN. MARIANO ALVAREZ,October,2023,25,
GEN. MARIANO ALVAREZ,November,2023,18,
GEN. MARIANO ALVAREZ,December,2023,11,
GEN. MARIANO ALVAREZ,January,2024,13,
GEN. MARIANO ALVAREZ,February,2024,3,
GEN. MARIANO ALVAREZ,March,2024,5,
GEN. MARIANO ALVAREZ,April,2024,5,
GEN. MARIANO ALVAREZ,May,2024,10,
GEN. MARIANO ALVAREZ,June,2024,9,
GEN. MARIANO ALVAREZ,July,2024,18,
GEN. MARIANO ALVAREZ,August,2024,14,
GEN. MARIANO ALVAREZ,September,2024,19,
GEN. MARIANO ALVAREZ,October,2024,28,
GEN. MARIANO ALVAREZ,November,2024,27,
GEN. MARIANO ALVAREZ,December,2024,34,
GENERAL EMILIO AGUINALDO,January,2014,0,0
GENERAL EMILIO AGUINALDO,February,2014,2,0
GENERAL EMILIO AGUINALDO,March,2014,0,0
GENERAL EMILIO AGUINALDO,April,2014,0,0
GENERAL EMILIO AGUINALDO,May,2014,0,0
GENERAL EMILIO AGUINALDO,June,2014,0,0
GENERAL EMILIO AGUINALDO,July,2014,1,0
GENERAL EMILIO AGUINALDO,August,2014,0,0
GENERAL EMILIO AGUINALDO,September,2014,0,0
GENERAL EMILIO AGUINALDO,October,2014,0,0
GENERAL EMILIO AGUINALDO,November,2014,1,0
GENERAL EMILIO AGUINALDO,December,2014,2,0
GENERAL EMILIO AGUINALDO,January,2015,2,
GENERAL EMILIO AGUINALDO,February,2015,1,
GENERAL EMILIO AGUINALDO,March,2015,1,
GENERAL EMILIO AGUINALDO,April,2015,1,
GENERAL EMILIO AGUINALDO,May,2015,3,
GENERAL EMILIO AGUINALDO,June,2015,6,0
GENERAL EMILIO AGUINALDO,July,2015,7,0
GENERAL EMILIO AGUINALDO,August,2015,24,0
GENERAL EMILIO AGUINALDO,September,2015,9,0
GENERAL EMILIO AGUINALDO,October,2015,2,0
GENERAL EMILIO AGUINALDO,November,2015,3,0
GENERAL EMILIO AGUINALDO,December,2015,6,0
GENERAL EMILIO AGUINALDO,January,2016,1,
GENERAL EMILIO AGUINALDO,February,2016,0,
GENERAL EMILIO AGUINALDO,March,2016,1,
GENERAL EMILIO AGUINALDO,April,2016,0,
GENERAL EMILIO AGUINALDO,May,2016,2,
GENERAL EMILIO AGUINALDO,June,2016,8,0
GENERAL EMILIO AGUINALDO,July,2016,3,0
GENERAL EMILIO AGUINALDO,August,2016,,
GENERAL EMILIO AGUINALDO,September,2016,1,
GENERAL EMILIO AGUINALDO,October,2016,3,
GENERAL EMILIO AGUINALDO,November,2016,2,
GENERAL EMILIO AGUINALDO,December,2016,0,0
GENERAL EMILIO AGUINALDO,January,2017,2,
GENERAL EMILIO AGUINALDO,February,2017,4,
GENERAL EMILIO AGUINALDO,March,2017,2,
GENERAL EMILIO AGUINALDO,April,2017,0,
GENERAL EMILIO AGUINALDO,May,2017,0,
GENERAL EMILIO AGUINALDO,June,2017,1,
GENERAL EMILIO AGUINALDO,July,2017,7,
GENERAL EMILIO AGUINALDO,August,2017,1,
GENERAL EMILIO AGUINALDO,September,2017,1,
GENERAL EMILIO AGUINALDO,October,2017,0,
GENERAL EMILIO AGUINALDO,November,2017,5,
GENERAL EMILIO AGUINALDO,December,2017,2,
GENERAL EMILIO AGUINALDO,January,2018,2,
GENERAL EMILIO AGUINALDO,February,2018,3,
GENERAL EMILIO AGUINALDO,March,2018,2,
GENERAL EMILIO AGUINALDO,April,2018,3,
GENERAL EMILIO AGUINALDO,May,2018,0,
GENERAL EMILIO AGUINALDO,June,2018,1,
GENERAL EMILIO AGUINALDO,July,2018,5,
GENERAL EMILIO AGUINALDO,August,2018,4,
GENERAL EMILIO AGUINALDO,September,2018,1,
GENERAL EMILIO AGUINALDO,October,2018,2,
GENERAL EMILIO AGUINALDO,November,2018,5,
GENERAL EMILIO AGUINALDO,December,2018,1,
GENERAL EMILIO AGUINALDO,January,2019,1,
GENERAL EMILIO AGUINALDO,February,2019,1,
GENERAL EMILIO AGUINALDO,March,2019,0,
GENERAL EMILIO AGUINALDO,April,2019,0,
GENERAL EMILIO AGUINALDO,May,2019,2,
GENERAL EMILIO AGUINALDO,June,2019,6,
GENERAL EMILIO AGUINALDO,July,2019,10,
GENERAL EMILIO AGUINALDO,August,2019,14,
GENERAL EMILIO AGUINALDO,September,2019,8,
GENERAL EMILIO AGUINALDO,October,2019,7,
GENERAL EMILIO AGUINALDO,November,2019,3,
GENERAL EMILIO AGUINALDO,December,2019,1,
GENERAL EMILIO AGUINALDO,January,2020,2,
GENERAL EMILIO AGUINALDO,February,2020,4,
GENERAL EMILIO AGUINALDO,March,2020,3,
GENERAL EMILIO AGUINALDO,April,2020,2,
GENERAL EMILIO AGUINALDO,May,2020,4,
GENERAL EMILIO AGUINALDO,June,2020,8,
GENERAL EMILIO AGUINALDO,July,2020,13,
GENERAL EMILIO AGUINALDO,August,2020,7,
GENERAL EMILIO AGUINALDO,September,2020,0,
GENERAL EMILIO AGUINALDO,October,2020,0,
GENERAL EMILIO AGUINALDO,November,2020,2,
GENERAL EMILIO AGUINALDO,December,2020,0,
GENERAL EMILIO AGUINALDO,January,2021,0,
GENERAL EMILIO AGUINALDO,February,2021,0,
GENERAL EMILIO AGUINALDO,March,2021,4,
GENERAL EMILIO AGUINALDO,April,2021,11,
GENERAL EMILIO AGUINALDO,May,2021,2,
GENERAL EMILIO AGUINALDO,June,2021,14,
GENERAL EMILIO AGUINALDO,July,2021,14,
GENERAL EMILIO AGUINALDO,August,2021,11,
GENERAL EMILIO AGUINALDO,September,2021,0,
GENERAL EMILIO AGUINALDO,October,2021,3,
GENERAL EMILIO AGUINALDO,November,2021,1,
GENERAL EMILIO AGUINALDO,December,2021,2,
GENERAL EMILIO AGUINALDO,January,2022,0,
GENERAL EMILIO AGUINALDO,February,2022,1,
GENERAL EMILIO AGUINALDO,March,2022,0,
GENERAL EMILIO AGUINALDO,April,2022,0,
GENERAL EMILIO AGUINALDO,May,2022,2,
GENERAL EMILIO AGUINALDO,June,2022,11,
GENERAL EMILIO AGUINALDO,July,2022,21,
GENERAL EMILIO AGUINALDO,August,2022,8,
GENERAL EMILIO AGUINALDO,September,2022,2,1
GENERAL EMILIO AGUINALDO,October,2022,2,1
GENERAL EMILIO AGUINALDO,November,2022,1,
GENERAL EMILIO AGUINALDO,December,2022,0,
GENERAL EMILIO AGUINALDO,January,2023,1,
GENERAL EMILIO AGUINALDO,February,2023,0,
GENERAL EMILIO AGUINALDO,March,2023,0,
GENERAL EMILIO AGUINALDO,April,2023,1,
GENERAL EMILIO AGUINALDO,May,2023,1,
GENERAL EMILIO AGUINALDO,June,2023,3,
GENERAL EMILIO AGUINALDO,July,2023,2,
GENERAL EMILIO AGUINALDO,August,2023,3,
GENERAL EMILIO AGUINALDO,September,2023,0,
GENERAL EMILIO AGUINALDO,October,2023,5,
GENERAL EMILIO AGUINALDO,November,2023,3,
GENERAL EMILIO AGUINALDO,December,2023,0,
GENERAL EMILIO AGUINALDO,January,2024,1,
GENERAL EMILIO AGUINALDO,February,2024,1,
GENERAL EMILIO AGUINALDO,March,2024,1,
GENERAL EMILIO AGUINALDO,April,2024,8,
GENERAL EMILIO AGUINALDO,May,2024,1,
GENERAL EMILIO AGUINALDO,June,2024,3,
GENERAL EMILIO AGUINALDO,July,2024,2,
GENERAL EMILIO AGUINALDO,August,2024,2,
GENERAL EMILIO AGUINALDO,September,2024,3,
GENERAL EMILIO AGUINALDO,October,2024,3,
GENERAL EMILIO AGUINALDO,November,2024,4,
GENERAL EMILIO AGUINALDO,December,2024,2,
GENERAL TRIAS,January,2014,40,0
GENERAL TRIAS,February,2014,7,0
GENERAL TRIAS,March,2014,6,0
GENERAL TRIAS,April,2014,3,0
GENERAL TRIAS,May,2014,14,0
GENERAL TRIAS,June,2014,6,0
GENERAL TRIAS,July,2014,5,0
GENERAL TRIAS,August,2014,12,0
GENERAL TRIAS,September,2014,40,0
GENERAL TRIAS,October,2014,45,0
GENERAL TRIAS,November,2014,74,0
GENERAL TRIAS,December,2014,28,0
GENERAL TRIAS,January,2015,77,
GENERAL TRIAS,February,2015,62,1
GENERAL TRIAS,March,2015,62,1
GENERAL TRIAS,April,2015,62,1
GENERAL TRIAS,May,2015,9,
GENERAL TRIAS,June,2015,22,0
GENERAL TRIAS,July,2015,76,0
GENERAL TRIAS,August,2015,168,1
GENERAL TRIAS,September,2015,291,0
GENERAL TRIAS,October,2015,440,3
GENERAL TRIAS,November,2015,257,0
GENERAL TRIAS,December,2015,84,0
GENERAL TRIAS,January,2016,79,2
GENERAL TRIAS,February,2016,61,2
GENERAL TRIAS,March,2016,32,
GENERAL TRIAS,April,2016,21,
GENERAL TRIAS,May,2016,13,
GENERAL TRIAS,June,2016,14,1
GENERAL TRIAS,July,2016,32,
GENERAL TRIAS,August,2016,105,
GENERAL TRIAS,September,2016,93,
GENERAL TRIAS,October,2016,79,
GENERAL TRIAS,November,2016,76,
GENERAL TRIAS,December,2016,45,1
GENERAL TRIAS,January,2017,79,
GENERAL TRIAS,February,2017,38,
GENERAL TRIAS,March,2017,26,
GENERAL TRIAS,April,2017,13,
GENERAL TRIAS,May,2017,10,
GENERAL TRIAS,June,2017,28,
GENERAL TRIAS,July,2017,97,
GENERAL TRIAS,August,2017,126,1
GENERAL TRIAS,September,2017,101,
GENERAL TRIAS,October,2017,77,
GENERAL TRIAS,November,2017,134,
GENERAL TRIAS,December,2017,132,1
GENERAL TRIAS,January,2018,147,
GENERAL TRIAS,February,2018,82,
GENERAL TRIAS,March,2018,40,
GENERAL TRIAS,April,2018,18,
GENERAL TRIAS,May,2018,19,
GENERAL TRIAS,June,2018,8,
GENERAL TRIAS,July,2018,49,
GENERAL TRIAS,August,2018,51,
GENERAL TRIAS,September,2018,69,
GENERAL TRIAS,October,2018,85,
GENERAL TRIAS,November,2018,113,
GENERAL TRIAS,December,2018,69,
GENERAL TRIAS,January,2019,90,
GENERAL TRIAS,February,2019,77,2
GENERAL TRIAS,March,2019,35,
GENERAL TRIAS,April,2019,16,
GENERAL TRIAS,May,2019,23,
GENERAL TRIAS,June,2019,55,1
GENERAL TRIAS,July,2019,298,1
GENERAL TRIAS,August,2019,499,1
GENERAL TRIAS,September,2019,487,1
GENERAL TRIAS,October,2019,331,1
GENERAL TRIAS,November,2019,160,2
GENERAL TRIAS,December,2019,115,
GENERAL TRIAS,January,2020,139,1
GENERAL TRIAS,February,2020,45,
GENERAL TRIAS,March,2020,16,
GENERAL TRIAS,April,2020,2,
GENERAL TRIAS,May,2020,1,
GENERAL TRIAS,June,2020,1,
GENERAL TRIAS,July,2020,5,
GENERAL TRIAS,August,2020,4,
GENERAL TRIAS,September,2020,9,
GENERAL TRIAS,October,2020,22,
GENERAL TRIAS,November,2020,26,
GENERAL TRIAS,December,2020,38,
GENERAL TRIAS,January,2021,83,
GENERAL TRIAS,February,2021,40,1
GENERAL TRIAS,March,2021,24,
GENERAL TRIAS,April,2021,7,
GENERAL TRIAS,May,2021,5,
GENERAL TRIAS,June,2021,1,
GENERAL TRIAS,July,2021,6,
GENERAL TRIAS,August,2021,1,
GENERAL TRIAS,September,2021,9,
GENERAL TRIAS,October,2021,8,
GENERAL TRIAS,November,2021,26,
GENERAL TRIAS,December,2021,15,
GENERAL TRIAS,January,2022,10,
GENERAL TRIAS,February,2022,12,
GENERAL TRIAS,March,2022,4,
GENERAL TRIAS,April,2022,3,
GENERAL TRIAS,May,2022,14,
GENERAL TRIAS,June,2022,41,
GENERAL TRIAS,July,2022,108,
GENERAL TRIAS,August,2022,163,1
GENERAL TRIAS,September,2022,107,
GENERAL TRIAS,October,2022,107,
GENERAL TRIAS,November,2022,81,
GENERAL TRIAS,December,2022,56,
GENERAL TRIAS,January,2023,73,
GENERAL TRIAS,February,2023,32,
GENERAL TRIAS,March,2023,26,
GENERAL TRIAS,April,2023,25,
GENERAL TRIAS,May,2023,13,
GENERAL TRIAS,June,2023,30,
GENERAL TRIAS,July,2023,29,
GENERAL TRIAS,August,2023,23,
GENERAL TRIAS,September,2023,46,
GENERAL TRIAS,October,2023,78,
GENERAL TRIAS,November,2023,61,1
GENERAL TRIAS,December,2023,40,
GENERAL TRIAS,January,2024,53,
GENERAL TRIAS,February,2024,40,
GENERAL TRIAS,March,2024,22,
GENERAL TRIAS,April,2024,6,
GENERAL TRIAS,May,2024,14,
GENERAL TRIAS,June,2024,30,1
GENERAL TRIAS,July,2024,111,
GENERAL TRIAS,August,2024,179,
GENERAL TRIAS,September,2024,213,1
GENERAL TRIAS,October,2024,317,2
GENERAL TRIAS,November,2024,417,4
GENERAL TRIAS,December,2024,271,2
IMUS,January,2014,72,0
IMUS,February,2014,23,0
IMUS,March,2014,16,0
IMUS,April,2014,2,0
IMUS,May,2014,6,0
IMUS,June,2014,9,0
IMUS,July,2014,11,0
IMUS,August,2014,35,0
IMUS,September,2014,36,0
IMUS,October,2014,72,0
IMUS,November,2014,93,0
IMUS,December,2014,54,1
IMUS,January,2015,95,
IMUS,February,2015,64,
IMUS,March,2015,64,
IMUS,April,2015,64,
IMUS,May,2015,12,
IMUS,June,2015,23,0
IMUS,July,2015,45,0
IMUS,August,2015,70,0
IMUS,September,2015,189,0
IMUS,October,2015,427,0
IMUS,November,2015,365,1
IMUS,December,2015,102,0
IMUS,January,2016,108,
IMUS,February,2016,49,
IMUS,March,2016,37,
IMUS,April,2016,15,
IMUS,May,2016,10,
IMUS,June,2016,20,0
IMUS,July,2016,39,0
IMUS,August,2016,79,
IMUS,September,2016,79,0
IMUS,October,2016,89,
IMUS,November,2016,63,0
IMUS,December,2016,61,0
IMUS,January,2017,61,1
IMUS,February,2017,53,
IMUS,March,2017,40,1
IMUS,April,2017,19,
IMUS,May,2017,13,
IMUS,June,2017,21,
IMUS,July,2017,55,
IMUS,August,2017,71,
IMUS,September,2017,66,
IMUS,October,2017,92,
IMUS,November,2017,161,
IMUS,December,2017,118,
IMUS,January,2018,131,
IMUS,February,2018,74,
IMUS,March,2018,36,1
IMUS,April,2018,15,1
IMUS,May,2018,15,
IMUS,June,2018,22,
IMUS,July,2018,25,
IMUS,August,2018,47,
IMUS,September,2018,100,2
IMUS,October,2018,176,1
IMUS,November,2018,177,
IMUS,December,2018,126,
IMUS,January,2019,127,
IMUS,February,2019,88,
IMUS,March,2019,30,
IMUS,April,2019,17,
IMUS,May,2019,11,
IMUS,June,2019,30,
IMUS,July,2019,234,1
IMUS,August,2019,410,1
IMUS,September,2019,602,1
IMUS,October,2019,426,3
IMUS,November,2019,340,0
IMUS,December,2019,257,3
IMUS,January,2020,289,
IMUS,February,2020,120,
IMUS,March,2020,41,
IMUS,April,2020,1,
IMUS,May,2020,6,
IMUS,June,2020,3,
IMUS,July,2020,7,
IMUS,August,2020,5,
IMUS,September,2020,10,
IMUS,October,2020,9,
IMUS,November,2020,25,
IMUS,December,2020,34,1
IMUS,January,2021,70,1
IMUS,February,2021,40,
IMUS,March,2021,29,1
IMUS,April,2021,30,
IMUS,May,2021,11,
IMUS,June,2021,21,
IMUS,July,2021,30,
IMUS,August,2021,19,
IMUS,September,2021,15,
IMUS,October,2021,63,
IMUS,November,2021,121,
IMUS,December,2021,89,
IMUS,January,2022,21,
IMUS,February,2022,39,
IMUS,March,2022,18,
IMUS,April,2022,35,
IMUS,May,2022,31,
IMUS,June,2022,69,
IMUS,July,2022,187,
IMUS,August,2022,264,
IMUS,September,2022,184,
IMUS,October,2022,184,
IMUS,November,2022,146,
IMUS,December,2022,90,
IMUS,January,2023,126,
IMUS,February,2023,76,
IMUS,March,2023,60,
IMUS,April,2023,66,
IMUS,May,2023,36,
IMUS,June,2023,66,
IMUS,July,2023,33,
IMUS,August,2023,47,
IMUS,September,2023,57,
IMUS,October,2023,142,
IMUS,November,2023,190,
IMUS,December,2023,107,
IMUS,January,2024,89,
IMUS,February,2024,42,
IMUS,March,2024,23,
IMUS,April,2024,26,
IMUS,May,2024,10,
IMUS,June,2024,14,
IMUS,July,2024,112,
IMUS,August,2024,242,1
IMUS,September,2024,285,2
IMUS,October,2024,450,2
IMUS,November,2024,555,1
IMUS,December,2024,486,
INDANG,January,2014,1,0
INDANG,February,2014,1,0
INDANG,March,2014,0,0
INDANG,April,2014,0,0
INDANG,May,2014,2,0
INDANG,June,2014,1,0
INDANG,July,2014,6,0
INDANG,August,2014,5,0
INDANG,September,2014,7,0
INDANG,October,2014,2,0
INDANG,November,2014,6,0
INDANG,December,2014,4,0
INDANG,January,2015,5,
INDANG,February,2015,3,
INDANG,March,2015,3,
INDANG,April,2015,3,
INDANG,May,2015,5,
INDANG,June,2015,10,1
INDANG,July,2015,28,0
INDANG,August,2015,36,0
INDANG,September,2015,46,1
INDANG,October,2015,49,0
INDANG,November,2015,32,0
INDANG,December,2015,14,0
INDANG,January,2016,7,
INDANG,February,2016,6,
INDANG,March,2016,6,
INDANG,April,2016,4,
INDANG,May,2016,1,
INDANG,June,2016,7,0
INDANG,July,2016,17,0
INDANG,August,2016,29,
INDANG,September,2016,17,
INDANG,October,2016,10,
INDANG,November,2016,2,
INDANG,December,2016,3,0
INDANG,January,2017,6,
INDANG,February,2017,8,
INDANG,March,2017,11,
INDANG,April,2017,4,
INDANG,May,2017,4,
INDANG,June,2017,10,
INDANG,July,2017,18,
INDANG,August,2017,20,
INDANG,September,2017,23,
INDANG,October,2017,18,
INDANG,November,2017,5,
INDANG,December,2017,3,
INDANG,January,2018,16,
INDANG,February,2018,14,
INDANG,March,2018,10,
INDANG,April,2018,7,
INDANG,May,2018,3,
INDANG,June,2018,6,
INDANG,July,2018,10,
INDANG,August,2018,9,
INDANG,September,2018,13,
INDANG,October,2018,11,
INDANG,November,2018,13,
INDANG,December,2018,10,
INDANG,January,2019,13,
INDANG,February,2019,10,
INDANG,March,2019,4,
INDANG,April,2019,5,
INDANG,May,2019,7,
INDANG,June,2019,55,
INDANG,July,2019,116,1
INDANG,August,2019,86,
INDANG,September,2019,73,
INDANG,October,2019,35,1
INDANG,November,2019,8,
INDANG,December,2019,8,
INDANG,January,2020,12,
INDANG,February,2020,3,
INDANG,March,2020,2,
INDANG,April,2020,0,
INDANG,May,2020,0,
INDANG,June,2020,1,
INDANG,July,2020,0,
INDANG,August,2020,0,
INDANG,September,2020,0,
INDANG,October,2020,2,
INDANG,November,2020,3,
INDANG,December,2020,2,
INDANG,January,2021,4,
INDANG,February,2021,0,
INDANG,March,2021,2,
INDANG,April,2021,0,
INDANG,May,2021,3,
INDANG,June,2021,1,
INDANG,July,2021,3,
INDANG,August,2021,1,
INDANG,September,2021,1,
INDANG,October,2021,0,
INDANG,November,2021,0,
INDANG,December,2021,0,
INDANG,January,2022,0,
INDANG,February,2022,1,
INDANG,March,2022,1,
INDANG,April,2022,2,
INDANG,May,2022,20,
INDANG,June,2022,32,
INDANG,July,2022,59,
INDANG,August,2022,55,
INDANG,September,2022,24,
INDANG,October,2022,24,
INDANG,November,2022,2,
INDANG,December,2022,0,
INDANG,January,2023,4,
INDANG,February,2023,1,
INDANG,March,2023,3,
INDANG,April,2023,1,
INDANG,May,2023,3,
INDANG,June,2023,5,
INDANG,July,2023,2,1
INDANG,August,2023,5,
INDANG,September,2023,3,
INDANG,October,2023,11,
INDANG,November,2023,7,
INDANG,December,2023,3,
INDANG,January,2024,10,
INDANG,February,2024,4,
INDANG,March,2024,3,
INDANG,April,2024,2,
INDANG,May,2024,4,
INDANG,June,2024,13,
INDANG,July,2024,52,
INDANG,August,2024,64,
INDANG,September,2024,20,1
INDANG,October,2024,9,
INDANG,November,2024,20,
INDANG,December,2024,11,
